Family	Subclass	Ambler_class	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
blaPEDO-2_fam	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1
blaRSA2	CARBAPENEM	bla-A	0	0	0	0	0	0	0	0	1	1	1	1	1
blaRSD2	CEPHALOSPORIN	bla-D	0	0	0	0	0	0	0	0	1	1	1	1	1
blaOXY-2	CEPHALOSPORIN	bla-A	0	0	0	0	1	1	1	1	1	1	1	1	1
blaOXA-2_fam	CEPHALOSPORIN	bla-D	6	6	6	6	6	6	7	9	10	10	10	10	10
blaOXY-3	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaPEDO-3_fam	CARBAPENEM	bla-B	0	0	0	0	0	1	1	1	1	1	1	1	1
blaCRD3	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaOXY-4	BETA-LACTAM	bla-A	1	1	1	1	1	1	1	1	1	1	1	1	1
blaOXY-5	BETA-LACTAM	bla-A	2	2	2	2	2	2	2	2	2	2	2	2	2
blaOXA-5_fam	BETA-LACTAM	bla-D	2	2	2	2	2	2	2	2	2	2	2	2	2
blaOXY-6	BETA-LACTAM	bla-A	4	4	4	4	4	4	4	4	4	4	4	4	4
blaALG6	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaADC-8_fam	CEPHALOSPORIN	bla-C	1	1	1	1	1	1	1	1	1	1	1	1	1
blaOXA-10_fam	BETA-LACTAM	bla-D	5	8	9	9	9	10	12	13	16	22	24	26	28
blaOXA-10_fam	CARBAPENEM	bla-D	0	0	0	0	1	1	1	1	1	1	1	1	1
blaOXA-10_fam	CEPHALOSPORIN	bla-D	10	10	10	10	11	11	11	11	13	14	14	14	14
blaALG11	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaOXA-12_fam	BETA-LACTAM	bla-D	3	3	3	3	3	3	3	4	4	4	5	9	9
blaOXA-22_fam	BETA-LACTAM	bla-D	1	1	1	1	1	2	2	2	5	5	6	6	6
blaOXA-23_fam	CARBAPENEM	bla-D	14	15	16	17	20	25	25	26	27	40	41	45	46
blaGRD23	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaOXA-24_fam	CARBAPENEM	bla-D	6	6	7	7	7	8	8	8	9	9	10	11	12
blaGRD33	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaOXA-46_fam	BETA-LACTAM	bla-D	3	4	4	4	4	4	4	4	5	6	6	6	6
blaOXA-48_fam	BETA-LACTAM	bla-D	0	0	0	0	0	1	7	11	12	16	24	26	27
blaOXA-48_fam	CARBAPENEM	bla-D	4	4	6	10	12	16	17	17	17	17	17	17	17
blaOXA-48_fam	CEPHALOSPORIN	bla-D	0	1	1	1	2	2	2	2	2	2	2	2	2
blaOXA-50_fam	BETA-LACTAM	bla-D	4	4	4	6	7	7	7	7	7	13	24	43	43
blaOXA-51_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	4	91	140	144	157	188
blaOXA-51_fam	CARBAPENEM	bla-D	66	80	87	100	141	156	172	181	182	182	182	182	182
blaOXA-55_fam	BETA-LACTAM	bla-D	1	1	1	1	1	1	1	1	1	1	1	7	7
blaOXA-55_fam	CARBAPENEM	bla-D	1	1	1	1	1	1	1	1	1	1	1	1	1
blaOXA-58_fam	CARBAPENEM	bla-D	4	4	4	4	6	6	7	7	7	7	7	7	7
blaOXA-60_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	0	0	1	1	1
blaOXA-60_fam	CARBAPENEM	bla-D	1	1	1	1	1	2	2	2	5	5	5	5	5
blaOXA-61_fam	BETA-LACTAM	bla-D	2	2	3	3	3	9	9	9	49	49	49	49	49
blaOXA-62_fam	CARBAPENEM	bla-D	1	1	1	1	1	10	10	10	10	10	10	10	10
blaOXA-63_fam	BETA-LACTAM	bla-D	4	5	5	5	5	14	14	14	14	14	14	14	23
blaSPN79	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1
blaOXA-85_fam	BETA-LACTAM	bla-D	0	0	0	0	1	1	1	1	1	1	1	1	1
